Date,AAPL,AGL.JO,FSR.JO,MSFT,MTN.JO,NPN.JO,NVDA,SBK.JO,USDZAR=X
2024-10-15,232.3238983154297,50483.43359375,8247.0263671875,413.8985900878906,8661.2626953125,81993.75,131.54783630371094,24279.689453125,17.542600631713867
2024-10-16,230.26736450195312,51155.68359375,8287.0029296875,411.3088684082031,8831.208984375,82592.1015625,135.66619873046875,24102.80859375,17.642200469970703
2024-10-17,230.63499450683594,52771.43359375,8204.0537109375,411.9019470214844,8949.171875,81702.3671875,136.87570190429688,23751.044921875,17.633399963378906
2024-10-18,233.46636962890625,53724.76953125,8269.013671875,413.3252868652344,9147.109375,83779.015625,137.94529724121094,23882.955078125,17.64590072631836
2024-10-21,234.93670654296875,53231.39453125,8227.0400390625,413.9381103515625,9032.1455078125,82829.8828125,143.6530303955078,23943.916015625,17.579200744628906
2024-10-22,234.32077026367188,53470.21484375,8166.07568359375,422.56719970703125,9012.1513671875,83297.4453125,143.5330810546875,23734.056640625,17.599700927734375
2024-10-23,229.25405883789062,52858.90234375,8172.072265625,419.69085693359375,8916.181640625,83529.8359375,139.50466918945312,23663.103515625,17.523799896240234
2024-10-24,229.06529235839844,54151.30859375,8294.998046875,419.8193664550781,8897.1875,82555.703125,140.35433959960938,23822.99609375,17.776199340820312
2024-10-25,229.8998260498047,55098.75,8064.1376953125,423.19976806640625,8898.1875,84421.96875,141.48388671875,23758.0390625,17.654399871826172
2024-10-28,231.87681579589844,55876.15234375,7961.19921875,421.6578063964844,8858.2001953125,84758.328125,140.4643096923828,24227.72265625,17.65553092956543
2024-10-29,232.14508056640625,56154.29296875,7623.4033203125,426.9559020996094,8674.2587890625,86021.84375,141.19400024414062,23933.921875,17.69202995300293
2024-10-30,228.59835815429688,54367.53125,7732.33740234375,427.5291748046875,8756.232421875,84322.96875,139.28475952148438,24266.69921875,17.648000717163086
2024-10-31,224.4357147216797,53402.40625,7705.35400390625,401.6518249511719,8750.234375,82877.078125,132.70736694335938,24139.783203125,17.64529037475586
2024-11-01,221.45526123046875,53997.01171875,7744.330078125,405.6253662109375,8739.23828125,84319.7734375,135.34632873535156,24525.525390625,17.595699310302734
2024-11-04,220.56114196777344,54276.125,7736.3349609375,403.7374572753906,8865.1982421875,83593.6328125,135.99607849121094,24810.33203125,17.56399917602539
2024-11-05,221.9917449951172,54035.33984375,7731.337890625,406.7027893066406,8681.255859375,84682.75,139.8545379638672,24945.2421875,17.502399444580078
2024-11-06,221.2665252685547,53320.828125,7694.3603515625,415.3219299316406,8472.322265625,83037.46875,145.5522918701172,24543.51171875,17.369699478149414
2024-11-07,225.99545288085938,54872.703125,7892.2412109375,420.51123046875,8382.3505859375,82859.28125,148.8209991455078,24443.580078125,17.665700912475586
2024-11-08,225.7269287109375,52700.671875,7877.25,417.6546630859375,8424.3369140625,81658.3828125,147.57147216796875,24138.78515625,17.282550811767578
2024-11-11,223.01173400878906,52931.63671875,7821.28369140625,413.1770324707031,8314.3720703125,82062.5390625,145.20240783691406,24040.849609375,17.613649368286133
2024-11-12,223.01173400878906,50596.453125,7756.3232421875,418.13897705078125,8403.34375,82268.9296875,148.23118591308594,24149.77734375,17.90839958190918
2024-11-13,223.8968963623047,50737.984375,7655.3837890625,420.283935546875,8424.3369140625,81872.7578125,146.21202087402344,24153.7734375,18.10110092163086
2024-11-14,226.98007202148438,50592.5234375,7660.380859375,421.954345703125,8161.42041015625,82800.2890625,146.7018280029297,24145.779296875,18.225299835205078
2024-11-15,223.777587890625,51871.171875,7620.4052734375,410.2018127441406,8203.4072265625,82155.9453125,141.9237060546875,23947.912109375,14.860369682312012
2024-11-18,226.7811737060547,51489.83984375,7625.40234375,410.9530334472656,8347.361328125,82749.296875,140.0944366455078,23967.8984375,18.166549682617188
2024-11-19,227.03973388671875,51917.36328125,7648.38818359375,412.9595947265625,8333.3662109375,82155.9453125,146.95172119140625,23950.91015625,17.938100814819336
2024-11-20,227.75582885742188,53051.5390625,7732.33740234375,410.6861267089844,8235.3974609375,82193.734375,145.83216857910156,24453.572265625,18.026399612426758
2024-11-21,227.2784423828125,52217.12890625,7854.26416015625,408.9132995605469,8177.41552734375,81900.15625,146.6118621826172,24699.40625,18.10890007019043
2024-11-22,228.62110900878906,52539.484375,7787.3046875,413.0037536621094,8037.45947265625,81167.8125,141.89373779296875,24415.599609375,18.097299575805664
2024-11-25,231.6048126220703,53198.9609375,7760.3203125,414.776611328125,8121.43310546875,81753.765625,135.96607971191406,24203.740234375,17.997129440307617
2024-11-26,233.78292846679688,53156.69921875,7905.2333984375,423.888427734375,8126.431640625,82393.71875,136.86570739746094,24071.828125,17.984699249267578
2024-11-27,233.6536102294922,54299.71484375,7861.259765625,418.9363098144531,8120.43359375,82527.90625,135.28634643554688,23695.08203125,18.179899215698242
2024-11-28,,53968.5078125,7893.240234375,,8145.42529296875,81523.78125,,23827.994140625,18.171199798583984
2024-11-29,236.0405731201172,55858.46875,7689.36376953125,419.4018249511719,8071.44873046875,81353.796875,138.19520568847656,23672.09765625,18.080699920654297
2024-12-02,238.28831481933594,57832.9453125,7781.3076171875,426.84979248046875,8147.4248046875,85393.2890625,138.57504272460938,23405.27734375,18.091520309448242
2024-12-03,241.3316650390625,57986.265625,7733.3369140625,427.0676574707031,8075.44775390625,85813.2578125,140.20440673828125,22744.720703125,18.128400802612305
