FirstRand,Standard_Bank,Naspers,Anglo_American,MTN_Group,Apple,Microsoft,Nvidia,USD_ZAR_Rate
6468.30126953125,20471.646484375,64266.703125,40967.1796875,8597.916015625,179.9225311279297,396.701171875,69.4095687866211,18.93931007385254
6485.28173828125,20651.400390625,65456.2109375,40928.86328125,8546.9521484375,180.67572021484375,396.100341796875,67.43077850341797,18.9064998626709
6679.05078125,20731.287109375,66777.90625,42153.96875,8762.7998046875,182.7072296142578,405.4272155761719,78.49002838134766,18.896129608154297
6582.16552734375,20594.4765625,66945.09375,43424.27734375,8527.9658203125,180.87388610839844,404.13702392578125,78.76886749267578,19.14780044555664
6492.2724609375,20474.646484375,66518.9296875,41871.03125,8773.791015625,179.52618408203125,401.37933349609375,79.04369354248047,19.30579948425293
6503.26025390625,20462.662109375,65019.04296875,42132.359375,8943.6708984375,180.98291015625,401.3202819824219,78.6529312133789,19.212600708007812
6408.37353515625,20355.80859375,63340.171875,40862.05078125,8414.046875,179.78379821777344,401.556640625,77.61555480957031,19.069400787353516
6470.29931640625,20154.087890625,63097.98828125,41281.5625,8344.095703125,179.11984252929688,407.3871765136719,79.06366729736328,19.25309944152832
6546.20849609375,20731.287109375,62420.83984375,40956.3671875,8400.0556640625,178.03968811035156,409.218994140625,82.22872924804688,19.180419921875
6427.35009765625,20478.638671875,60894.75390625,40457.28125,8658.873046875,173.52081298828125,408.6478271484375,85.18492889404297,19.07699966430664
6359.43115234375,19982.326171875,58925.90234375,40047.59765625,8257.158203125,168.58572387695312,396.5632629394531,85.91551971435547,19.03030014038086
6595.15087890625,20149.09375,60001.2265625,41829.76171875,8611.90625,167.59475708007812,396.01177978515625,88.64997100830078,18.94070053100586
6392.3916015625,19994.310546875,59448.26953125,43560.83984375,8585.9248046875,167.475830078125,402.9551696777344,92.61672973632812,18.775400161743164
6416.36328125,19705.708984375,59413.26953125,43988.20703125,8335.1015625,169.19021606445312,400.0793151855469,87.47862243652344,18.66390037536621
6369.4189453125,19857.5,59268.28125,42908.5,8632.8916015625,171.1920166015625,398.4049987792969,85.72562408447266,18.79785919189453
6387.39794921875,19938.38671875,61191.9375,43502.87890625,8394.060546875,171.6676483154297,409.0023498535156,91.86115264892578,18.652700424194336
6480.28759765625,19942.37890625,61764.48828125,44205.42578125,8441.02734375,169.58660888671875,408.8250427246094,90.83673858642578,18.65049934387207
6492.2724609375,18585.259765625,61788.2890625,42592.90234375,8430.03515625,171.43975830078125,418.79205322265625,87.8943862915039,18.553699493408203
6335.45947265625,18604.234375,61147.94140625,43905.71875,8622.8984375,171.06317138671875,410.1251220703125,87.78746795654297,18.730600357055664
6252.55810546875,18579.267578125,61903.08203125,43236.53515625,8476.0029296875,172.15322875976562,411.01153564453125,88.40512084960938,18.749780654907227
6229.5859375,18524.345703125,61483.11328125,42705.90625,8377.072265625,174.49195861816406,415.0396728515625,89.34757995605469,18.943300247192383
6238.57470703125,18559.296875,62313.44921875,43286.6484375,8407.05078125,177.05862426757812,418.8019714355469,90.3210220336914,18.908790588378906
6215.602294921875,18473.416015625,62106.96484375,44486.462890625,8718.3310546875,169.824462890625,422.8793640136719,91.3834228515625,18.672300338745117
6192.6298828125,18387.53515625,61900.48046875,45686.27734375,9029.611328125,170.7262420654297,422.25885009765625,94.2358169555664,18.81909942626953
6162.66552734375,18405.509765625,62495.234375,45641.07421875,9173.5087890625,169.30914306640625,416.4677734375,94.94840240478516,18.985200881958008
6054.7587890625,18499.37890625,64706.66796875,45022.01171875,9210.482421875,168.179443359375,415.27606201171875,92.50879669189453,18.885700225830078
6101.71826171875,18468.421875,66027.5703125,44652.53515625,9392.353515625,171.7469482421875,415.05938720703125,90.19911193847656,18.960399627685547
6167.66064453125,18498.380859375,67145.8828125,45708.875,9367.37109375,169.93344116210938,414.360107421875,90.3050308227539,18.924489974975586
3083.830322265625,9249.1904296875,33572.94140625,22854.4375,4683.685546875,169.2149887084961,416.2560119628906,90.30852890014648,18.896699905395508
3055.355224609375,9216.736328125,33614.4375,23547.205078125,4613.73583984375,168.4965362548828,418.15191650390625,90.31202697753906,18.84830093383789
6110.71044921875,18433.47265625,67228.875,47094.41015625,9227.4716796875,167.3172607421875,415.0692138671875,89.40155029296875,18.944650650024414
6087.72998046875,18134.884765625,66994.890625,47407.875,9246.45703125,168.1199493408203,414.09417724609375,88.913818359375,18.75790023803711
6247.591796875,18124.8984375,66918.8984375,48982.078125,9796.0693359375,167.2974853515625,411.5630798339844,85.8565444946289,18.65250015258789
6173.65576171875,17997.07421875,67136.0859375,48872.0234375,9699.13671875,168.0505828857422,419.08758544921875,87.95838165283203,18.676809310913086
6244.59423828125,18074.966796875,67221.671875,49511.7265625,9403.3466796875,166.93077087402344,418.171630859375,87.08384704589844,18.712160110473633
6242.59619140625,18360.572265625,65483.609375,50211.375,9179.5048828125,168.13978576660156,419.8360290527344,85.30584716796875,18.63089942932129
6298.5478515625,17749.50390625,67416.0625,49998.140625,9235.46484375,166.26681518554688,416.8617248535156,86.98991394042969,18.42840003967285
6285.55908203125,17653.599609375,67234.875,49158.953125,9252.453125,173.46136474609375,421.4610595703125,90.56488037109375,18.77739906311035
6054.7587890625,17322.92578125,66602.921875,51102.63671875,9006.626953125,174.95773315429688,415.5222473144531,88.13626098632812,18.709800720214844
6051.76171875,17495.75390625,65684.7890625,50581.83203125,8718.830078125,171.13253784179688,407.3871765136719,85.95249938964844,18.857799530029297
6013.7939453125,17166.080078125,64132.91015625,48731.50390625,8429.0361328125,167.85240173339844,408.31292724609375,87.36569213867188,18.97052001953125
5907.88623046875,16690.548828125,64024.3203125,50567.09375,8044.45751953125,166.48484802246094,405.6143493652344,83.98759460449219,19.005800247192383
5962.837890625,16728.509765625,64744.265625,51014.19921875,8197.4091796875,165.53350830078125,398.1587829589844,84.62323760986328,18.980899810791016
5987.81689453125,16738.501953125,65142.8359375,51073.15234375,8206.40625,163.51190185546875,393.0866394042969,76.15702056884766,19.137449264526367
6088.7294921875,16898.34375,68630.5625,49741.66796875,8296.3779296875,164.3443145751953,394.8988342285156,79.47314453125,19.121599197387695
6170.65869140625,17167.080078125,71965.3046875,48837.62890625,8296.3779296875,165.3947296142578,401.4089050292969,82.37651062011719,19.18004035949707
